# generated by .xlsx-source/extract.py from enemyleveldata on 2026-04-19
# schema: enemy|stage|stage_area_levels|level_scale|level_fluctuation|scale_max|night_add|is_eco
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
INVALID|None|0 0 0 0 0|False|0|0|0|False
