# generated by .xlsx-source/extract.py from monsterpicturebookdata on 2026-04-19
# schema: name|enemy_id|otomon_id|regions|areas|dungeons|habitat|main_flavour|trace_items|mutation_monster
Khezu|Khezu|Khezu|NONE NONE|NONE NONE|None None||Lacking scales or carapace, this monster's body is instead covered by an elastic white hide. Life in dimly-lit caves has caused its vision to regress, but a heightened sense of smell makes up for it.|IT_BOOK_TRACE_005 (Flabby Sac) IT_BOOK_TRACE_006 (Flabby Meat)|0
Red Khezu|Red Khezu|Red Khezu|NONE NONE|NONE NONE|None None||A strange subspecies of Khezu with red flesh. Its electricity- producing organ enables a wide variety of attacks, including electric traps to disable and ensnare prey.|IT_BOOK_TRACE_007 (Shimmering Red Hide) IT_BOOK_TRACE_008 (Tender Meat)|0
Invasive Khezu|Invasive Khezu||R3 (Serathis) NONE|D000 NONE|None None||This invasive variety of Khezu is the source of the "Death Shriek" legend from Glacial Caps folklore. Its resonance organ can emit a shrill cry that elicits instinctive fear responses in victims.|IT_BOOK_TRACE_161 (Impact Debris) IT_BOOK_TRACE_162 (Electric Discharge Track)|0
Rathian|Rathian|Rathian|NONE NONE|NONE NONE|None None||This Flying Wyvern earns its title of "Queen of the Land" by using its powerful legs to hunt primarily on the ground. Any challenges to her reign will be swiftly put down by the poison-laden tail.|INVALID INVALID|0
Pink Rathian|Pink Rathian|Pink Rathain|NONE NONE|NONE NONE|None None||The vibrant pink scales of this Rathian subspecies belie a terrible ferocity. It deftly utilizes its toxic tail to corner prey, then closes in for the kill.|INVALID INVALID|0
INVALID||Dreadqueen Rathian|NONE NONE|NONE NONE|None None||The tail of this Rathian Deviant bears venom of the deadliest kind. When expelled, the venom forms a majestic purple cloud of miasma that suffocates any unfortunate prey.|INVALID INVALID|0
Legiana|Legiana|Legiana|NONE NONE|NONE NONE|None None||A Flying Wyvern renowned for its grace when traversing the skies. It flies smoothly even in heavy turbulence by expertly adjusting the specialized membranes on its wings and tail.|IT_BOOK_TRACE_101 (Chilled Claw) IT_BOOK_TRACE_102 (Floral Webbing)|0
Exotic Legiana|Exotic Legiana||R2 (Tarkuan) NONE|C001 NONE|None None||In the desert, I happened across a Flying Wyvern normally found in colder regions. From its behavior, I surmised that it didn't get here by chance, but rather had been living here for a while.|INVALID INVALID|0
Feral Legiana|Feral Legiana||R3 (Serathis) NONE|D001 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Barioth|Barioth|Barioth|NONE NONE|NONE NONE|None None||This white Flying Wyvern is identifiable by its giant fangs and the spiked scales adorning its forelegs and tail. Using these spikes, it traverses slippery ice with ease.|INVALID INVALID|0
Sand Barioth|Sand Barioth|Sand Barioth|NONE NONE|NONE NONE|None None||This Barioth subspecies can generate tornadoes with its powerful breath. The yellow carapace has a red tint, and its fangs are said to shine deep blue when polished.|INVALID INVALID|0
Nargacuga|Nargacuga|Nargacuga|NONE NONE|NONE NONE|None None||Cloaked in fur as dark as night, this Flying Wyvern lurks in the shadows to then pounce upon prey with frightening speed and agility.|INVALID INVALID|0
Green Nargacuga|Green Nargacuga|Green Nargacuga|NONE NONE|NONE NONE|None None||The mottled green fur of this Nargacuga subspecies is speculated to have served as an excellent camouflage in its verdant habitat before it became endangered.|INVALID INVALID|0
INVALID||Silverwind Nargacuga|NONE NONE|NONE NONE|None None||A Nargacuga Deviant that is covered in distinctive silver markings. Quick swings from its tail generate slicing gusts of wind, the phenomenal sight of which earned it its name.|INVALID INVALID|0
Astalos|Astalos|Astalos|NONE NONE|NONE NONE|None None||Special internal organs allow this Flying Wyvern to generate high- voltage electricity. By shaking its crest, wings, or tail, it can charge that body part with stored electricity for an attack.|INVALID INVALID|0
INVALID||Boltreaver Astalos|NONE NONE|NONE NONE|None None||An Astalos Deviant especially known for unleashing electric bolts as blue as the sky. Its highly developed shockshells produce spheres of electromagnetic energy to trap its foes.|INVALID INVALID|0
INVALID||Ratha|NONE NONE|NONE NONE|None None|Azuria|Ten years ago, this Skyscale Rathalos was born from an egg quartz that Amara discovered in Blightstone Woods. One of a pair of twins, it serves as the <LSNR {prince's} {princess's}> Monstie.|INVALID INVALID|0
INVALID||Ratha V|NONE NONE|NONE NONE|None None|Vermeil|A Skyscale Rathalos born ten years ago from egg quartz discovered in Blightstone Woods. As twins were prophesied to bring disaster, it was sentenced to death, but it fled Azuria with Amara's help.|INVALID INVALID|0
Rathalos|Rathalos|Rathalos|NONE NONE|NONE NONE|None None||Simply mentioning Flying Wyverns brings this fire-breathing monster to mind. Aptly known as the "King of the Skies," it spends little time on land, instead using its powerful wings to hunt from above.|IT_BOOK_TRACE_001 (Red Scale) IT_BOOK_TRACE_002 (Poisoned Claw)|0
Azure Rathalos|Azure Rathalos|Azure Rathalos|NONE NONE|NONE NONE|None None||An azure subspecies of Rathalos. More mobile than the regular species, it swoops down from above for ferocious attacks. It has been known to hunt alongside the Pink Rathian.|INVALID INVALID|0
INVALID||Dreadking Rathalos|NONE NONE|NONE NONE|None None||A king among kings, this Rathalos Deviant soars through the skies on majestic black wings. All those who dare oppose its rightful rule will be incinerated by its scorching breath.|INVALID INVALID|0
Tigrex|Tigrex|Tigrex|NONE NONE|NONE NONE|None None||A Flying Wyvern that retains much of its primeval physical traits. Ferocity incarnate, its deafening roar and unrelenting onrush are feared far and wide.|INVALID INVALID|0
Brute Tigrex|Brute Tigrex|Brute Tigrex|NONE NONE|NONE NONE|None None||This black-scaled subspecies of the Tigrex possesses astounding strength and extreme ferociousness. The might of its terrible roar surpasses even that of the regular species.|INVALID INVALID|0
INVALID||Grimclaw Tigrex|NONE NONE|NONE NONE|None None||For a species already known for its absolute power, this Deviant commands even more compelling strength. Its name refers to the preternaturally sharp claws with which it decimates its prey.|INVALID INVALID|0
Gravios|Gravios|Gravios|NONE NONE|NONE NONE|None None||A large Flying Wyvern found in torrid regions. It possesses a sturdy carapace and likes to consume minerals that contain explosive properties, such as volcanic rocks or Firestones.|IT_BOOK_TRACE_009 (Heavy Shell) IT_BOOK_TRACE_010 (Double Sac)|0
Black Gravios|Black Gravios|Black Gravios|NONE NONE|NONE NONE|None None||A subspecies of Gravios distinguished by its tough black carapace. The heat produced inside its body far surpasses that of regular Gravios and is thought to be the reason for this coloration.|IT_BOOK_TRACE_011 (Jet-Black Shell) IT_BOOK_TRACE_012 (Jet-Black Scalp)|0
Feral Gravios|Feral Gravios||R2 (Tarkuan) NONE|C001 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Diablos|Diablos|Diablos|NONE NONE|NONE NONE|None None||A Flying Wyvern easily recognized by its two curved horns. Fiercely territorial, it attacks any who dare stray into its domain, causing many to call it "the tyrant of the desert."|IT_BOOK_TRACE_013 (Twisted Horn) IT_BOOK_TRACE_014 (Well-Hydrated Cactus)|0
Black Diablos|Black Diablos|Black Diablos|NONE NONE|NONE NONE|None None||Once thought to be a Diablos subspecies, it is actually a female Diablos whose shell darkened for mating season. This color serves as a warning to other creatures, including male Diablos.|IT_BOOK_TRACE_015 (Ink-Black Cortex) IT_BOOK_TRACE_016 (Nutritious Cactus)|0
INVALID||Bloodbath Diablos|NONE NONE|NONE NONE|None None||Tales of this Diablos Deviant are passed down in a faraway desert. It is rumored to have annihilated entire battalions sent after it, leaving nothing but empty sand where once stood soldiers.|INVALID INVALID|0
Invasive Diablos|Invasive Diablos||R2 (Tarkuan) NONE|C000 NONE|None None||An invasive subspecies of Diablos with far greater lethality than the regular species. It swiftly burrows underground to surprise threats by delivering a decisive attack from below with its horns.|IT_BOOK_TRACE_163 (Massive Hole) IT_BOOK_TRACE_164 (Excavated Hole)|0
Seregios|Seregios|Seregios|NONE NONE|NONE NONE|None None||A Flying Wyvern covered in a pinecone lattice of razor-sharp scales. It can launch a barrage of these deadly scales at prey, inflicting countless lacerations.|IT_BOOK_TRACE_059 (Sharp Golden Scale) IT_BOOK_TRACE_060 (Shimmering Golden Scale)|0
Exotic Seregios|Exotic Seregios||R1 (Canalta) NONE|B003 NONE|None None||<COLOR preset="Text_Red">Surrounded by sheer rocks, the only path forward led to a giant tree.</COLOR> What awaited me there was a cunning and deadly monster that knew how to trap its prey.|INVALID INVALID|0
Invasive Seregios|Invasive Seregios||R0 (Azuria) NONE|A002 NONE|None None||The gleaming silver scales on this invasive subspecies of Seregios help differentiate it from the normal species. Flung at nearly the speed of sound, those bladescales unerringly find their mark.|IT_BOOK_TRACE_175 (Silver Bladescale) IT_BOOK_TRACE_176 (Embedded Bladescale)|0
Espinas|Espinas|Espinas|NONE NONE|NONE NONE|None None||This fierce Flying Wyvern is distinguished by the red-violet thorns dotting its green carapace. Its blood contains properties that poison and paralyze, so most monsters steer clear of it.|IT_BOOK_TRACE_117 (Scarlet Spike) IT_BOOK_TRACE_118 (Poisonous Blood)|0
Feral Espinas|Feral Espinas||R1 (Canalta) NONE|B000 NONE|None None||A feral monster that is more menacing than its regular counterpart. Its body is partially crystallized.|INVALID INVALID|0
Rey Dau|Rey Dau|Rey Dau|NONE NONE|NONE NONE|None None||A luminous gold Flying Wyvern that dwells in sandy, arid regions. Its defining features are its two horns, from which tremendous amounts of electrical energy can be discharged.|IT_BOOK_TRACE_121 (Glistening Fulgurite) IT_BOOK_TRACE_122 (Barbed Scale)|0
Arkveld|Arkveld|Arkveld|NONE NONE|NONE NONE|None None||A Flying Wyvern with chain-like wings that end in bladed tendrils. It can extend and retract these tendrils at will, dispatching prey with deadly efficiency.|IT_BOOK_TRACE_125 (Broken Chain Shell) IT_BOOK_TRACE_126 (Faintly Pulsing Sphere)|0
INVALID||Great Poogie|NONE NONE|NONE NONE|None None|Azuria|A legendary Poogie possessing unmatched charisma and grandeur. Some farfetched tales claim this Poogie can summon all the other Poogies in the world with a single call.|INVALID INVALID|0
Yama Tsukami|Yama Tsukami||R2 (Tarkuan) NONE|C002 NONE|None None||This floating Elder Dragon is colossal enough to have an ecosystem of flora living on it. It consumes the earth and swallows forests whole as it wanders in search of rich soil.|IT_BOOK_TRACE_037 (Thunderbug Body) IT_BOOK_TRACE_038 (Spoiled Soil)|0
Feral Yama Tsukami|Feral Yama Tsukami||NONE NONE|NONE NONE|None None|Canalta Timberland|A monster feared in Sheparden as "a force of nature." Rather than wandering about, this particular specimen has long resided in the Canalta Timberland. A portion of its body is crystallized.|INVALID INVALID|0
Namielle|Namielle|Namielle|NONE NONE|NONE NONE|None None||This Elder Dragon is completely enveloped in liquid and can command vast quantities of water. Unique electric organs allow it to charge water attacks with electricity, creating massive explosions.|IT_BOOK_TRACE_109 (Slimy Hide) IT_BOOK_TRACE_110 (Curious Puddle)|0
Velkhana|Velkhana|Velkhana|NONE NONE|NONE NONE|None None||Legends hold that this Elder Dragon can conjure great spires of ice out of thin air and instantly freeze any creature that stands before it, turning even massive monsters to icebound statues.|IT_BOOK_TRACE_107 (Frozen Ground) IT_BOOK_TRACE_108 (Ice Fragment)|0
Ibushi|Ibushi||R1 (Canalta) NONE|B000 NONE|None None||Exhibiting inexplicable behavior such as levitating upside down, this male Elder Dragon can ascend to the heavens by generating fierce updrafts.|IT_BOOK_TRACE_081 (Whirlwind Traces) IT_BOOK_TRACE_082 (Hurricane Traces)|0
Narwa|Narwa||R1 (Canalta) NONE|B000 NONE|None None||This Elder Dragon is the female counterpart to Wind Serpent Ibushi. Its thunder sacs thrum with stored electric power, enabling control over lightning and giving this monster an eerie golden glow.|IT_BOOK_TRACE_087 (Electrified Stone) IT_BOOK_TRACE_088 (Traces of a Storm)|0
Malzeno|Malzeno|Malzeno|NONE NONE|NONE NONE|None None||Notable for its silver carapace, this elegant Elder Dragon stalks the night to drain the energy from its prey. Once it has drunk its fill, it reveals its dreadful true form in all its glory.|IT_BOOK_TRACE_111 (Red Butterfly?) IT_BOOK_TRACE_112 (Signs of Violence)|0
Aenshin|Aenshin||NONE NONE|NONE NONE|None None|Unknown|This enormous Elder Dragon preserved the Sacrosanctum's ecosystem 200 years ago, earning it the title of "Sentinel," but it vanished after the Sacrosanctum was destroyed during the Rift War.|INVALID INVALID|0
