# generated by .xlsx-source/extract.py from enemydata on 2026-04-19
# schema: name|species|element|level|non_elem|fire|water|thunder|ice|dragon|atk_rank|def_rank|hp_rank|heal_rank|crit_rate|speed|slash_dmg|blunt_dmg|pierce_dmg|monster_dmg|poison_hit|burn_hit|paralysis_hit|sleep_hit|blast_hit|bleed_hit|blind_hit|sonic_bomb_rate|status_type_1|status_type_2|status_type_3|monstie_id|exp_rate|materials|break_materials
Shrouded Nerscylla|RACE_10 (Temnoceran)||44|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|0|100|0|30|70|70|70|30||||Shrouded Nerscylla|8.899999619|IT_WEAPON_121 (S. Nerscylla Shell) IT_WEAPON_122 (S. Nersculla Chel) IT_WEAPON_123 (S. Nerscylla Claw) INVALID|IT_WEAPON_121 (S. Nerscylla Shell)
Shrouded Nerscylla|RACE_10 (Temnoceran)||25|||||||ATTACK_RANK_10|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|11|0|0|0|0|0|100|0|30|70|70|70|30||||INVALID|8.899999619|IT_TRADE_071 (Trade Ticket (Bronze)) IT_TRADE_072 (Trade Ticket (Silver)) IT_TRADE_073 (Trade Ticket (Gold)) INVALID|IT_TRADE_073 (Trade Ticket (Gold))
Seregios|RACE_02 (Flying Wyvern)||56|||||||ATTACK_RANK_08|DEFENCE_RANK_05|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|70|70|30|30|30|0|70|70||||Seregios|13.60000038|IT_WEAPON_124 (Seregios Sharpscale) IT_WEAPON_125 (Seregios Bladehorn) IT_WEAPON_126 (Seregios Claw) INVALID|IT_WEAPON_124 (Seregios Sharpscale)
Glavenus|RACE_04 (Brute Wyvern)||44|||||||ATTACK_RANK_08|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|70|30|70|100|30|70|70|30||||Glavenus|8.600000381|IT_WEAPON_127 (Glavenus Fang) IT_WEAPON_128 (Glavenus Hellshell) IT_WEAPON_129 (Glavenus Plate) INVALID|IT_WEAPON_127 (Glavenus Fang)
Honed Glavenus|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|13|0|0|0|0|30|30|70|100|30|70|70|30||||INVALID|10|IT_TRADE_068 (Blackgold Protector) IT_TRADE_068 (Blackgold Protector) IT_WEAPON_274 (Monster Bone M) IT_WEAPON_273 (Monster Bone S)|IT_TRADE_068 (Blackgold Protector)
Honed Glavenus|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|13|0|0|0|0|30|30|70|100|30|70|70|30||||INVALID|0|IT_TRADE_068 (Blackgold Protector) IT_TRADE_068 (Blackgold Protector) IT_WEAPON_274 (Monster Bone M) IT_WEAPON_273 (Monster Bone S)|IT_TRADE_068 (Blackgold Protector)
Honed Glavenus|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|13|0|0|0|0|30|30|70|100|30|70|70|30||||INVALID|25|IT_TRADE_068 (Blackgold Protector) IT_TRADE_068 (Blackgold Protector) IT_WEAPON_274 (Monster Bone M) IT_WEAPON_273 (Monster Bone S)|IT_TRADE_068 (Blackgold Protector)
Honed Glavenus|RACE_04 (Brute Wyvern)||35|||||||ATTACK_RANK_10|DEFENCE_RANK_10|HP_RANK_07|HEAL_RANK_01|0|11|0|0|0|0|30|30|70|100|30|70|70|30||||INVALID|12|IT_TRADE_068 (Blackgold Protector) IT_TRADE_068 (Blackgold Protector) IT_WEAPON_274 (Monster Bone M) IT_WEAPON_273 (Monster Bone S)|IT_TRADE_068 (Blackgold Protector)
Feral Glavenus|RACE_04 (Brute Wyvern)||1|||||||ATTACK_RANK_03|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|11|0|0|0|0|70|30|70|100|30|70|70|30||||INVALID|45.20000076|IT_WEAPON_127 (Glavenus Fang) IT_WEAPON_128 (Glavenus Hellshell) IT_WEAPON_129 (Glavenus Plate) INVALID|IT_WEAPON_127 (Glavenus Fang)
Astalos|RACE_02 (Flying Wyvern)||62|||||||ATTACK_RANK_06|DEFENCE_RANK_02|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|30|70|30|70|100|70|100|30||||Astalos|8.399999619|IT_WEAPON_130 (Astalos Scale) IT_WEAPON_131 (Astalos Crest) IT_WEAPON_132 (Astalos Plate) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_130 (Astalos Scale)
Mizutsune|RACE_07 (Leviathan)||40|||||||ATTACK_RANK_05|DEFENCE_RANK_05|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|30|30|30|30|70|30|30|30||||Mizutsune|8.300000191|IT_WEAPON_133 (Mizutsune Purplefur) IT_WEAPON_134 (Mizutsune Fin) IT_WEAPON_135 (Mizutsune Plate) INVALID|IT_WEAPON_133 (Mizutsune Purplefur)
Magnamalo|RACE_05 (Fanged Wyvern)||58|||||||ATTACK_RANK_08|DEFENCE_RANK_05|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|70|30|70|30|0|30|100|30||||Magnamalo|14.30000019|IT_WEAPON_136 (Magnamalo Shell) IT_WEAPON_137 (Magnamalo Blade) IT_WEAPON_138 (Magnamalo Scale) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_136 (Magnamalo Shell)
Magnamalo|RACE_05 (Fanged Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|12|0|0|0|0|70|30|70|30|0|30|100|30||||INVALID|24|IT_TRADE_069 (Magna Ghostprism) IT_TRADE_069 (Magna Ghostprism) IT_WEAPON_275 (Monster Bone L) IT_WEAPON_274 (Monster Bone M)|IT_TRADE_069 (Magna Ghostprism)
Feral Magnamalo|RACE_05 (Fanged Wyvern)||1|||||||ATTACK_RANK_03|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|12|0|0|0|0|70|70|70|30|0|30|100|30||||INVALID|49|IT_WEAPON_136 (Magnamalo Shell) IT_WEAPON_137 (Magnamalo Blade) IT_WEAPON_138 (Magnamalo Scale) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_136 (Magnamalo Shell)
Bishaten|RACE_03 (Fanged Beast)||20|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|70|100|70|70|70|70|70|100||||Bishaten|3.900000095|IT_WEAPON_139 (Bishaten Feather) IT_WEAPON_140 (Bisha Tailcase) IT_WEAPON_141 (Bishaten Horn) IT_WEAPON_277 (Brute Bone M)|IT_WEAPON_139 (Bishaten Feather)
Blood Orange Bishaten|RACE_03 (Fanged Beast)||44|||||||ATTACK_RANK_07|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|12|0|0|0|0|70|0|70|70|0|70|100|70||||Blood Orange Bishaten|8.399999619|IT_WEAPON_142 (Orangaten Feather) IT_WEAPON_143 (Orangaten Tailcase) IT_WEAPON_144 (Orangaten Horn) IT_WEAPON_278 (Brute Bone L)|IT_WEAPON_142 (Orangaten Feather)
Blood Orange Bishaten|RACE_03 (Fanged Beast)||1|||||||ATTACK_RANK_07|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|12|0|0|0|0|70|0|70|70|0|70|100|70||||Blood Orange Bishaten|8.399999619|IT_TRADE_071 (Trade Ticket (Bronze)) IT_TRADE_072 (Trade Ticket (Silver)) IT_TRADE_073 (Trade Ticket (Gold)) INVALID|IT_TRADE_073 (Trade Ticket (Gold))
Feral Bishaten|RACE_03 (Fanged Beast)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|0|70|70|30|70|70|70|70|30||||INVALID|25.60000038|IT_WEAPON_139 (Bishaten Feather) IT_WEAPON_140 (Bisha Tailcase) IT_WEAPON_141 (Bishaten Horn) IT_WEAPON_277 (Brute Bone M)|IT_WEAPON_139 (Bishaten Feather)
Aknosom|RACE_01 (Bird Wyvern)||27|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|70|30|70|30|70|70|100|70||||Aknosom|4.5|IT_WEAPON_145 (Aknosom Scale) IT_WEAPON_146 (Aknosom Feather) IT_WEAPON_147 (Aknosom Crest) INVALID|IT_WEAPON_145 (Aknosom Scale)
Feral Aknosom|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|0|70|30|100|30|70|70|100|30||||INVALID|24|IT_WEAPON_145 (Aknosom Scale) IT_WEAPON_146 (Aknosom Feather) IT_WEAPON_147 (Aknosom Crest) INVALID|IT_WEAPON_145 (Aknosom Scale)
Feral Aknosom|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_08|DEFENCE_RANK_08|HP_RANK_09|HEAL_RANK_01|0|11|0|0|0|0|70|30|100|30|70|70|100|30||||INVALID|24|IT_WEAPON_145 (Aknosom Scale) IT_WEAPON_146 (Aknosom Feather) IT_WEAPON_147 (Aknosom Crest) INVALID|IT_WEAPON_145 (Aknosom Scale)
Tetranadon|RACE_12 (Amphibian)||18|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_06|HEAL_RANK_01|0|8|0|0|0|0|70|70|70|30|30|70|100|70||||Tetranadon|4.199999809|IT_WEAPON_148 (Tetra Carapace) IT_WEAPON_149 (Tetranadon Beak) IT_WEAPON_150 (Tetranadon Disc) INVALID|IT_WEAPON_148 (Tetra Carapace)
Tetranadon|RACE_12 (Amphibian)||20|||||||ATTACK_RANK_10|DEFENCE_RANK_03|HP_RANK_09|HEAL_RANK_01|0|8|0|0|0|0|70|70|70|30|30|70|100|70||||INVALID|4.199999809|IT_WEAPON_148 (Tetra Carapace) IT_WEAPON_149 (Tetranadon Beak) IT_WEAPON_150 (Tetranadon Disc) INVALID|IT_WEAPON_148 (Tetra Carapace)
Feral Tetranadon|RACE_12 (Amphibian)||1|||||||ATTACK_RANK_03|DEFENCE_RANK_03|HP_RANK_03|HEAL_RANK_01|0|8|0|0|0|0|100|30|70|30|0|70|100|30||||INVALID|15.69999981|IT_WEAPON_148 (Tetra Carapace) IT_WEAPON_149 (Tetranadon Beak) IT_WEAPON_150 (Tetranadon Disc) INVALID|IT_WEAPON_148 (Tetra Carapace)
Somnacanth|RACE_07 (Leviathan)||23|||||||ATTACK_RANK_06|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|30|100|70|0|70|70|70|70||||Somnacanth|4.199999809|IT_WEAPON_151 (Somnacanth Shell) IT_WEAPON_152 (Somnacanth Scale) IT_WEAPON_153 (Somnacanth Fin) IT_WEAPON_274 (Monster Bone M)|IT_WEAPON_151 (Somnacanth Shell)
Aurora Somnacanth|RACE_07 (Leviathan)||30|||||||ATTACK_RANK_08|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|30|100|70|30|70|70|100|30||||Aurora Somnacanth|5.099999905|IT_WEAPON_154 (Auroracanth Shell) IT_WEAPON_155 (Auroracanth Scale) IT_WEAPON_156 (Auroracanth  Claw) INVALID|IT_WEAPON_154 (Auroracanth Shell)
Feral Somnacanth|RACE_07 (Leviathan)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|0|70|30|30|0|70|70|70|70||||INVALID|18.89999962|IT_WEAPON_151 (Somnacanth Shell) IT_WEAPON_152 (Somnacanth Scale) IT_WEAPON_153 (Somnacanth Fin) IT_WEAPON_274 (Monster Bone M)|IT_WEAPON_151 (Somnacanth Shell)
Rakna-Kadaki|RACE_10 (Temnoceran)||40|||||||ATTACK_RANK_08|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|11|0|0|0|0|30|30|70|70|30|70|100|30||||Rakna-Kadaki|8.300000191|IT_WEAPON_157 (Rakna-Kadaki Claw) IT_WEAPON_158 (Rakna-Kadaki Silk) IT_WEAPON_159 (Rakna-Kadaki Spike) INVALID|IT_WEAPON_157 (Rakna-Kadaki Claw)
Feral Rakna-Kadaki|RACE_10 (Temnoceran)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|11|0|0|0|0|30|30|70|70|30|70|100|30||||INVALID|28.29999924|IT_WEAPON_157 (Rakna-Kadaki Claw) IT_WEAPON_158 (Rakna-Kadaki Silk) IT_WEAPON_159 (Rakna-Kadaki Spike) INVALID|IT_WEAPON_157 (Rakna-Kadaki Claw)
Almudron|RACE_07 (Leviathan)||36|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|70|70|30|30|30||||Almudron|6.900000095|IT_WEAPON_160 (Almudron Scale) IT_WEAPON_161 (Almudron Fin) IT_WEAPON_162 (Almudron Plate) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_160 (Almudron Scale)
Almudron|RACE_07 (Leviathan)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|70|70|30|30|30||||INVALID|19.70000076|IT_WEAPON_160 (Almudron Scale) IT_WEAPON_161 (Almudron Fin) IT_WEAPON_162 (Almudron Plate) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_160 (Almudron Scale)
Wind Serpent Ibushi|RACE_13 (Elder Dragon)||1|||||||ATTACK_RANK_06|DEFENCE_RANK_06|HP_RANK_06|HEAL_RANK_01|0|14|0|0|0|0|30|100|30|0|30|70|100|30||||INVALID|0|IT_WEAPON_163 (Ibushi Hide) IT_WEAPON_164 (Ibushi Horn) IT_WEAPON_165 (Ibushi Windsac) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_163 (Ibushi Hide)
Goss Harag|RACE_03 (Fanged Beast)||50|||||||ATTACK_RANK_10|DEFENCE_RANK_02|HP_RANK_08|HEAL_RANK_01|0|9|0|0|0|0|70|100|70|30|70|70|100|30||||Goss Harag|9.600000381|IT_WEAPON_166 (Goss Harag Fur) IT_WEAPON_167 (Goss Harag Claw) IT_WEAPON_168 (Block of Ice) INVALID|IT_WEAPON_166 (Goss Harag Fur)
Goss Harag|RACE_03 (Fanged Beast)||1|||||||ATTACK_RANK_04|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|9|0|0|0|0|70|100|70|30|70|70|100|30||||INVALID|33.09999847|IT_WEAPON_166 (Goss Harag Fur) IT_WEAPON_167 (Goss Harag Claw) IT_WEAPON_168 (Block of Ice) INVALID|IT_WEAPON_166 (Goss Harag Fur)
Great Izuchi|RACE_01 (Bird Wyvern)||18|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_02|HEAL_RANK_01|0|13|0|0|0|0|100|70|100|100|70|30|100|100||||Great Izuchi|3.599999905|IT_WEAPON_169 (Great Izuchi Pelt) IT_WEAPON_170 (Great Izuchi Hide) IT_WEAPON_171 (Great Izuchi Tail) IT_NORMAL_004 (Wyvern Barbs)|IT_WEAPON_169 (Great Izuchi Pelt)
Feral Great Izuchi|RACE_01 (Bird Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|13|0|0|0|0|100|30|100|100|70|30|100|70||||INVALID|21.60000038|IT_WEAPON_169 (Great Izuchi Pelt) IT_WEAPON_170 (Great Izuchi Hide) IT_WEAPON_171 (Great Izuchi Tail) IT_NORMAL_004 (Wyvern Barbs)|IT_WEAPON_169 (Great Izuchi Pelt)
Thunder Serpent Narwa|RACE_13 (Elder Dragon)||1|||||||ATTACK_RANK_05|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|100|30|0|0|70|30|100|30||||INVALID|117.5|IT_WEAPON_172 (Narwa Hide) IT_WEAPON_173 (Narwa Horn) IT_WEAPON_174 (Narwa Sparksac) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_172 (Narwa Hide)
Anjanath|RACE_04 (Brute Wyvern)||32|||||||ATTACK_RANK_07|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|70|30|70|70|30|70|100|70||||Anjanath|5.400000095|IT_WEAPON_175 (Anjanath Scale) IT_WEAPON_176 (Anjanath Nosebone) IT_WEAPON_177 (Anjanath Fang) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_175 (Anjanath Scale)
Fulgur Anjanath|RACE_04 (Brute Wyvern)||54|||||||ATTACK_RANK_08|DEFENCE_RANK_03|HP_RANK_06|HEAL_RANK_01|0|10|0|0|0|0|30|70|30|70|30|70|100|30||||Fulgur Anjanath|12.30000019|IT_WEAPON_178 (F. Anjanath Scale) IT_WEAPON_179 (F. Anjanath Pelt) IT_WEAPON_180 (F. Anjanath Fang) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_178 (F. Anjanath Scale)
Pukei-Pukei|RACE_01 (Bird Wyvern)||20|||||||ATTACK_RANK_05|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|30|70|100|100|70|70|70|100||||Pukei-Pukei|3.900000095|IT_WEAPON_181 (Pukei-Pukei Scale) IT_WEAPON_182 (Pukei-Pukei Sac) IT_WEAPON_183 (Pukei-Pukei Tail) IT_WEAPON_274 (Monster Bone M)|IT_WEAPON_181 (Pukei-Pukei Scale)
Kulu-Ya-Ku|RACE_01 (Bird Wyvern)||36|||||||ATTACK_RANK_06|DEFENCE_RANK_03|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|70|30|70|70|100|30|100|100||||Kulu-Ya-Ku|6.300000191|IT_WEAPON_184 (Kulu-Ya-Ku Hide) IT_WEAPON_185 (Kulu-Ya-Ku Beak) IT_WEAPON_186 (Kulu-Ya-Ku Plume) IT_WEAPON_274 (Monster Bone M)|IT_WEAPON_184 (Kulu-Ya-Ku Hide)
Tobi-Kadachi|RACE_05 (Fanged Wyvern)||14|||||||ATTACK_RANK_07|DEFENCE_RANK_02|HP_RANK_04|HEAL_RANK_01|0|12|0|0|0|0|100|70|30|70|70|70|100|70||||Tobi-Kadachi|3.900000095|IT_WEAPON_187 (Tobi-Kadachi Pelt) IT_WEAPON_188 (Tobi-Kadachi Claw) IT_WEAPON_189 (Tobi-Kadachi Electrode) INVALID|IT_WEAPON_187 (Tobi-Kadachi Pelt)
Feral Tobi-Kadachi|RACE_05 (Fanged Wyvern)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|12|0|0|0|0|100|70|30|70|70|30|100|30||||INVALID|12.10000038|IT_WEAPON_187 (Tobi-Kadachi Pelt) IT_WEAPON_188 (Tobi-Kadachi Claw) IT_WEAPON_189 (Tobi-Kadachi Electrode) INVALID|IT_WEAPON_187 (Tobi-Kadachi Pelt)
Paolumu|RACE_02 (Flying Wyvern)||5|||||||ATTACK_RANK_04|DEFENCE_RANK_03|HP_RANK_05|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|100|70|70|100|100||||Paolumu|1.649999976|IT_WEAPON_190 (Paolumu Pelt) IT_WEAPON_191 (Paolumu Webbing) IT_WEAPON_192 (Paolumu Shell) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_190 (Paolumu Pelt)
Paolumu|RACE_02 (Flying Wyvern)||5|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|10|0|0|0|0|70|100|70|100|70|70|100|100||||INVALID|0|IT_WEAPON_190 (Paolumu Pelt) IT_WEAPON_191 (Paolumu Webbing) IT_WEAPON_192 (Paolumu Shell) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_190 (Paolumu Pelt)
Feral Paolumu|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_04|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|10|0|0|0|0|70|100|0|70|70|70|100|30||||INVALID|12|IT_WEAPON_190 (Paolumu Pelt) IT_WEAPON_191 (Paolumu Webbing) IT_WEAPON_192 (Paolumu Shell) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_190 (Paolumu Pelt)
Legiana|RACE_02 (Flying Wyvern)||50|||||||ATTACK_RANK_07|DEFENCE_RANK_05|HP_RANK_06|HEAL_RANK_01|0|12|0|0|0|0|70|100|70|30|70|30|30|70||||Legiana|9.5|IT_WEAPON_193 (Legiana Claw) IT_WEAPON_194 (Legiana Webbing) IT_WEAPON_195 (Legiana Plate) INVALID|IT_WEAPON_193 (Legiana Claw)
Feral Legiana|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_05|DEFENCE_RANK_05|HP_RANK_05|HEAL_RANK_01|0|12|0|0|0|0|70|100|70|30|70|30|70|30||||INVALID|35.20000076|IT_WEAPON_193 (Legiana Claw) IT_WEAPON_194 (Legiana Webbing) IT_WEAPON_195 (Legiana Plate) INVALID|IT_WEAPON_193 (Legiana Claw)
Odogaron|RACE_05 (Fanged Wyvern)||36|||||||ATTACK_RANK_07|DEFENCE_RANK_02|HP_RANK_05|HEAL_RANK_01|0|13|0|0|0|0|30|70|100|70|70|30|70|70||||Odogaron|6.599999905|IT_WEAPON_196 (Odogaron Scale) IT_WEAPON_197 (Odogaron Claw) IT_WEAPON_198 (Odogaron Plate) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_196 (Odogaron Scale)
Ebony Odogaron|RACE_05 (Fanged Wyvern)||54|||||||ATTACK_RANK_08|DEFENCE_RANK_03|HP_RANK_07|HEAL_RANK_01|0|13|0|0|0|0|100|70|100|70|70|30|70|30||||Ebony Odogaron|12.5|IT_WEAPON_199 (Ebony Odogaron Scale) IT_WEAPON_200 (Ebony Odogaron Claw) IT_WEAPON_201 (Ebony Odogaron Sinew) IT_WEAPON_248 (Wyvern Stone)|IT_WEAPON_199 (Ebony Odogaron Scale)
Velkhana|RACE_13 (Elder Dragon)||75|||||||ATTACK_RANK_06|DEFENCE_RANK_06|HP_RANK_06|HEAL_RANK_01|0|15|0|0|0|0|70|100|30|30|100|30|70|30||||INVALID|105|IT_WEAPON_202 (Velkhana Shell) IT_WEAPON_203 (Velkhana Wing) IT_WEAPON_204 (Velkhana Claw) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_202 (Velkhana Shell)
Namielle|RACE_13 (Elder Dragon)||75|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|0|100|70|30|30|70|30|70|30||||INVALID|105|IT_WEAPON_205 (Namielle Hide) IT_WEAPON_206 (Namielle Webbing) IT_WEAPON_207 (Namielle Tail) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_205 (Namielle Hide)
Malzeno|RACE_13 (Elder Dragon)||68|||||||ATTACK_RANK_10|DEFENCE_RANK_08|HP_RANK_10|HEAL_RANK_01|0|13|0|0|0|0|70|100|70|30|70|30|30|30||||Malzeno|18|IT_WEAPON_208 (Malzeno Shell) IT_WEAPON_209 (Malzeno Wing) IT_WEAPON_210 (Malzeno Fang) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_208 (Malzeno Shell)
Malzeno|RACE_13 (Elder Dragon)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|13|0|0|0|0|70|100|70|30|70|30|30|30||||INVALID|40|IT_WEAPON_208 (Malzeno Shell) IT_WEAPON_209 (Malzeno Wing) IT_WEAPON_210 (Malzeno Fang) IT_WEAPON_272 (Elder Dragon Blood)|IT_WEAPON_208 (Malzeno Shell)
Lunagaron|RACE_05 (Fanged Wyvern)||50|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_06|HEAL_RANK_01|0|14|0|0|0|0|70|100|30|30|70|30|100|30||||Lunagaron|9.600000381|IT_WEAPON_211 (Lunagaron Scale) IT_WEAPON_212 (Luna Vermillion Claw) IT_WEAPON_213 (Frostborn Fang) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_211 (Lunagaron Scale)
Bound Lunagaron|RACE_05 (Fanged Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|14|0|0|0|0|70|100|30|30|70|30|70|30||||INVALID|60.29999924|IT_WEAPON_211 (Lunagaron Scale) IT_WEAPON_212 (Luna Vermillion Claw) IT_WEAPON_213 (Frostborn Fang) IT_MATERIAL_026 (Nourishing Extract)|IT_WEAPON_211 (Lunagaron Scale)
Garangolm|RACE_03 (Fanged Beast)||42|||||||ATTACK_RANK_07|DEFENCE_RANK_07|HP_RANK_06|HEAL_RANK_01|0|8|0|0|0|0|100|70|70|70|30|30|70|30||||Garangolm|8|IT_WEAPON_214 (Garangolm Scale) IT_WEAPON_215 (Garangolm Fang) IT_WEAPON_216 (Garangolm Fist) INVALID|IT_WEAPON_214 (Garangolm Scale)
Espinas|RACE_02 (Flying Wyvern)||44|||||||ATTACK_RANK_08|DEFENCE_RANK_06|HP_RANK_04|HEAL_RANK_01|0|11|0|0|0|0|30|30|30|70|70|30|100|30||||Espinas|9|IT_WEAPON_217 (Espinas Shell) IT_WEAPON_218 (Espinas Spike) IT_WEAPON_219 (Espinas Horn) INVALID|IT_WEAPON_217 (Espinas Shell)
Espinas|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_02|DEFENCE_RANK_02|HP_RANK_02|HEAL_RANK_01|0|11|0|0|0|0|30|30|30|70|70|30|100|30||||INVALID|9|IT_WEAPON_217 (Espinas Shell) IT_WEAPON_218 (Espinas Spike) IT_WEAPON_219 (Espinas Horn) INVALID|IT_WEAPON_217 (Espinas Shell)
Feral Espinas|RACE_02 (Flying Wyvern)||1|||||||ATTACK_RANK_01|DEFENCE_RANK_01|HP_RANK_01|HEAL_RANK_01|0|11|0|0|0|0|30|30|30|70|30|30|100|30||||INVALID|35.20000076|IT_WEAPON_217 (Espinas Shell) IT_WEAPON_218 (Espinas Spike) IT_WEAPON_219 (Espinas Horn) INVALID|IT_WEAPON_217 (Espinas Shell)
Chatacabra|RACE_12 (Amphibian)||7|||||||ATTACK_RANK_06|DEFENCE_RANK_04|HP_RANK_05|HEAL_RANK_01|0|9|0|0|0|0|70|70|70|70|70|70|100|100||||Chatacabra|1.700000048|IT_WEAPON_302 (Chatacabra Scale) IT_WEAPON_303 (Chatacabra Hide) IT_WEAPON_304 (Chatacabra Shell) INVALID|IT_WEAPON_302 (Chatacabra Scale)
Feral Chatacabra|RACE_12 (Amphibian)||1|||||||ATTACK_RANK_04|DEFENCE_RANK_04|HP_RANK_04|HEAL_RANK_01|0|9|0|0|0|0|70|70|30|70|70|70|100|30||||INVALID|5.900000095|IT_WEAPON_302 (Chatacabra Scale) IT_WEAPON_303 (Chatacabra Hide) IT_WEAPON_304 (Chatacabra Shell) INVALID|IT_WEAPON_302 (Chatacabra Scale)
Rey Dau|RACE_02 (Flying Wyvern)||44|||||||ATTACK_RANK_07|DEFENCE_RANK_04|HP_RANK_08|HEAL_RANK_01|0|12|0|0|0|0|70|70|30|30|100|70|100|30||||Rey Dau|9.199999809|IT_WEAPON_305 (Rey Dau Scale) IT_WEAPON_306 (Rey Dau Thunderhorn) IT_WEAPON_307 (Rey Dau Plate) IT_WEAPON_275 (Monster Bone L)|IT_WEAPON_305 (Rey Dau Scale)
