# generated by .xlsx-source/extract.py from passiveskilldata on 2026-04-19
# schema: name|skill_family|level|description
Follower Testament (XL)|Follower Testament|4|Power held by followers who slayed a Calamitous Elder Dragon. Significantly increases maximum HP and damage dealt to enemies, and significantly reduces damage taken.
Invasive Cruelty (Lesser)|Invasive Cruelty|1|Grants Panacea (L) and All-Elem Def Boost (L).
Invasive Cruelty|Invasive Cruelty|2|Grants Attack Up (L), Panacea (L), and All-Elem Def Boost (L).
Egg Power: Resonance|Egg Power: Resonance|1|Increases Kinship Gauge at the start of battle.
Egg Power: Resonance+|Egg Power: Resonance|2|Greatly increases Kinship Gauge at the start of battle.
Egg Power: Best Buds|Egg Power: Best Buds|1|Riding Kinship Gauge fills slightly faster.
Egg Power: Best Buds+|Egg Power: Best Buds|2|Riding Kinship Gauge fills faster.
Egg Power: Pwr Resilience|Egg Power: Pwr Resilience|1|Slightly reduces Power Type damage taken.
Egg Power: Pwr Resilience+|Egg Power: Pwr Resilience|2|Reduces Power Type damage taken.
Egg Power: Battle Thirst|Egg Power: Battle Thirst|1|Recovers Stamina after winning a Head-to-Head or performing a Double Attack.
Egg Power: Battle Thirst+|Egg Power: Battle Thirst|2|Greatly recovers Stamina after winning a Head-to-Head or performing a Double Attack.
Egg Power: Hardiness|Egg Power: Hardiness|1|Slightly recovers Stamina after taking damage.
Egg Power: Hardiness+|Egg Power: Hardiness|2|Recovers Stamina after taking damage.
Egg Power: Spd Resilience|Egg Power: Spd Resilience|1|Slightly reduces Speed Type damage taken.
Egg Power: Spd Resilience+|Egg Power: Spd Resilience|2|Reduces Speed Type damage taken.
Egg Power: Muster Forces|Egg Power: Muster Forces|1|Increases Kinship Gauge once when losing a Heart.
Egg Power: Muster Forces+|Egg Power: Muster Forces|2|Boosts Kinship Gauge to the maximum one time when losing a Heart.
Egg Power: Perseverance|Egg Power: Perseverance|1|Revives with newly applied buffs once upon losing a Heart.
Egg Power: Perseverance+|Egg Power: Perseverance|2|Revives with newly applied buffs upon losing a Heart up to two times.
Egg Power: Tech Resilience|Egg Power: Tech Resilience|1|Slightly reduces Technical Type damage taken.
Egg Power: Tech Resilience+|Egg Power: Tech Resilience|2|Reduces Technical Type damage taken.
Egg Power: Unscathed|Egg Power: Unscathed|1|Negates damage after winning a Head-to-Head and increases damage dealt to enemies.
Egg Power: Unscathed+|Egg Power: Unscathed|2|Negates damage after winning a Head-to-Head and greatly increases damage dealt to enemies.
Egg Power: High Morale|Egg Power: High Morale|1|Slightly extends the duration of buffs when applied by own skills.
Egg Power: High Morale+|Egg Power: High Morale|2|Extends the duration of buffs when applied by own skills.
Egg Power: EX Resilience|Egg Power: EX Resilience|1|Slightly reduces No Type damage taken.
Egg Power: EX Resilience+|Egg Power: EX Resilience|2|Reduces No Type damage taken.
Fiery Spirit|Fiery Spirit|1|Temporarily increases fire damage dealt when a monster undergoes a transformation during battle.
Awakened Flame|Awakened Flame|1|Temporarily increases fire damage dealt when inflicted with abnormal status.
Stealthy|Stealthy|1|Increases Crit Rate when not targeted by any Battle Lines.
Ice-Cold|Ice-Cold|1|Temporarily increases Crit Rate and ice damage dealt after taking a critical hit.
Tailwind|Tailwind|1|Increases Speed at 50% HP or less.
Thousand Cuts|Thousand Cuts|1|Attacks have a chance to inflict Bleeding.
Protective Shell|Protective Shell|1|Temporarily reduces damage taken from enemies when inflicted with abnormal status.
Garangolm Charge|Garangolm Charge|1|Increases damage dealt to the Wyvernsoul Gauge.
Proliferating Poison|Proliferating Poison|1|Extends the duration of inflicted Poison by 4 turns.
Sharp-Sighted|Sharp-Sighted|1|All attacks are guaranteed to hit.
#N/A|#N/A|1|#N/A
#N/A|#N/A|1|#N/A
